,reviews,scores,compound,comp_score
70, Warranty not registered. Overall watch excellent. ,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}",0.5719,pos
72, Good watch.. Value for money ,"{'neg': 0.0, 'neu': 0.361, 'pos': 0.639, 'compound': 0.6486}",0.6486,pos
73, For warranty website is not accessible. Someone suggest how can I avail warranty service? ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
74, Ok ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.296,pos
75, Very nice watch ❤️👍 ,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.4754}",0.4754,pos
76, So good ,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.4927}",0.4927,pos
77, Beautiful!!! I like it!!! ,"{'neg': 0.0, 'neu': 0.117, 'pos': 0.883, 'compound': 0.8209}",0.8209,pos
78, nice one ,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,pos
79," Purchase date - 04-08-2022I’m changing my review after few months please don’t waste your money, if u go for warranty claim Amazon & Seller both will not help you. if you search on internet about NIBOSI there nothing about brand. Don’t buy NIBOSI Watch.😡😡 ","{'neg': 0.11, 'neu': 0.803, 'pos': 0.087, 'compound': -0.2635}",-0.2635,neg
80, Look very nice but mesh band very cheap quality and chronograph working 1 hour only ,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.2609}",0.2609,pos
81, Not matching to the price tag.... ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
82, Such a beautiful watch nice ,"{'neg': 0.0, 'neu': 0.23, 'pos': 0.77, 'compound': 0.7717}",0.7717,pos
83, Super ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",0.5994,pos
84, I like big dial super... ,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,pos
85, Slim and good ,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,pos
86, Good ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
87, This is weast product.iwill bye 2400/-but that product was  500/-valuable. I'm very very lost my money. Who is responsible. I no under stand. Who is solved my problem.  Correct information ,"{'neg': 0.215, 'neu': 0.664, 'pos': 0.122, 'compound': -0.5222}",-0.5222,neg
88, It's different ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
89, Don't buy this product.. product is came with damage ,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4939}",-0.4939,neg
90, Good deal ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
91," The chain of this watch is not good , the lick gets pressed when you make movement of your hand , and it gets open very frequently.Very much frustrated ","{'neg': 0.182, 'neu': 0.721, 'pos': 0.096, 'compound': -0.4347}",-0.4347,neg
92, Love the product ,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,pos
93, Nice product ,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,pos
94, Average ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
95, Very good product with this price and nice look ,"{'neg': 0.0, 'neu': 0.539, 'pos': 0.461, 'compound': 0.7178}",0.7178,pos
96, The quality is poor... Cheap type product. The look of the watch seems like it should be not more than that of 100rs. ,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3612}",0.3612,pos
97, No refund issued after 3 days of pickup ,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
98,"                         The media could not be loaded.                      Returned, strap shortened product was sent to me ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
99, Dial color faded and minutes is not working not worth for money do not buy it . I m very disappointment with the product . ,"{'neg': 0.149, 'neu': 0.789, 'pos': 0.062, 'compound': -0.4767}",-0.4767,neg
100," Nice and duration , good looking watch ","{'neg': 0.0, 'neu': 0.412, 'pos': 0.588, 'compound': 0.6908}",0.6908,pos
101, Very good product ,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",0.4927,pos
102, Looks perfection ,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,pos
103, Cheap quality..wish I had not bought it.. ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
104, Just after 1 month it's hands started sleeping from its position.. chinese brand with chinese qualityLooks like most reviews are just after receiving productWatch starts showing it's quality mostly after 2 months or so ,"{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.3612}",0.3612,pos
105, EXCLUSIVE  LOOK ,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.128}",0.128,pos
106, Damage found ,"{'neg': 0.762, 'neu': 0.238, 'pos': 0.0, 'compound': -0.4939}",-0.4939,neg
107, Damage ,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4939}",-0.4939,neg
108, Very nice ,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4754}",0.4754,pos
109,"                         The media could not be loaded.                      I liked the watch so much, it is stylish worth to buy it must buy.... Loved it so very much. ","{'neg': 0.077, 'neu': 0.73, 'pos': 0.192, 'compound': 0.5374}",0.5374,pos
110," The watch is not worth the price, don't buy it if you are looking for something eligant.The white part looks cheap and takes the whole look off. ","{'neg': 0.06, 'neu': 0.94, 'pos': 0.0, 'compound': -0.1695}",-0.1695,neg
111, best quality watch ,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,pos
112, Excellent ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",0.5719,pos
113, Always we haveset time automatically timer stop ,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
114, The watch stopped on 03.03.2020.I purchased the same on November 2019. Pity ,"{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.4767}",-0.4767,neg
115, The chronograph keys doesn't work..It's just not acceptable at that price ,"{'neg': 0.164, 'neu': 0.836, 'pos': 0.0, 'compound': -0.2411}",-0.2411,neg
116," No quality ,don't buy this product ","{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
117, Dislike ,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3818}",-0.3818,neg
118, Watch not gud ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
119, Waste item ,"{'neg': 0.737, 'neu': 0.263, 'pos': 0.0, 'compound': -0.4215}",-0.4215,neg
120," 5here is no customercare,and this is use and through watch,once it fell from my hand and stops working local machanic checked and gave as it is. ","{'neg': 0.127, 'neu': 0.767, 'pos': 0.107, 'compound': 0.1027}",0.1027,pos
121, It has some issue that the mili second point is initiated to 2 sec as zero so it can't be start from zero. That's it. Otherwise it's just awesome watch. ,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.6249}",0.6249,pos
122, Liked product but once I purchased.  Immediate after not even  5 second.  Price was 1000 rs less . That was disappointing ,"{'neg': 0.179, 'neu': 0.734, 'pos': 0.087, 'compound': -0.4596}",-0.4596,neg
123, This is very good watch ,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4927}",0.4927,pos
124, Excellent watch ,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,pos
125, Very very beautiful ,"{'neg': 0.0, 'neu': 0.309, 'pos': 0.691, 'compound': 0.6674}",0.6674,pos
126, Waste iam not happy with product ,"{'neg': 0.592, 'neu': 0.408, 'pos': 0.0, 'compound': -0.7002}",-0.7002,neg
127,                         The media could not be loaded.                      Stylish and attractive piece from Nibosi ,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}",0.4404,pos
128," Looks better than Image, Gives a feel like more than 5000/- ","{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.6597}",0.6597,pos
130, Little ok for money ,"{'neg': 0.0, 'neu': 0.611, 'pos': 0.389, 'compound': 0.228}",0.228,pos
131, Very much good ,"{'neg': 0.0, 'neu': 0.386, 'pos': 0.614, 'compound': 0.4902}",0.4902,pos
132, Beautiful ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",0.5994,pos
133, I was expecting bigger ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
134, Good ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
135, My grand daughters loved the quality and beauty of both watches. They really look nice. ,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.9297}",0.9297,pos
136, Style ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
137," Really thanks from the bottom of the heart, Amazon 🥰🥰 ","{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.5984}",0.5984,pos
140, Little ok for money ,"{'neg': 0.0, 'neu': 0.611, 'pos': 0.389, 'compound': 0.228}",0.228,pos
141, Very much good ,"{'neg': 0.0, 'neu': 0.386, 'pos': 0.614, 'compound': 0.4902}",0.4902,pos
142, Beautiful ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",0.5994,pos
143, I was expecting bigger ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
144, Good ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
145, My grand daughters loved the quality and beauty of both watches. They really look nice. ,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.9297}",0.9297,pos
146, Style ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
147," Really thanks from the bottom of the heart, Amazon 🥰🥰 ","{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.5984}",0.5984,pos
150, Style and value for money. I love it very much . ,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.765}",0.765,pos
151, Buhut achhi hai ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
152, Excellent watch. Very rich look. They have given tools also with it. The stones are more than average. The chain is very strong. My sister like it a lot. Very much affordable and best for gift ,"{'neg': 0.0, 'neu': 0.582, 'pos': 0.418, 'compound': 0.9674}",0.9674,pos
153, Value for money ,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",0.34,pos
154, Super  very beautiful and good ,"{'neg': 0.0, 'neu': 0.151, 'pos': 0.849, 'compound': 0.9053}",0.9053,pos
155, 🥰🥰🥰 ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
156, This watch is really bested as i expected not so heavy in hand like others and looks are so impressive. ,"{'neg': 0.0, 'neu': 0.611, 'pos': 0.389, 'compound': 0.8808}",0.8808,pos
157, Frame quality is good but glass quality of the watch is poor ,"{'neg': 0.258, 'neu': 0.621, 'pos': 0.121, 'compound': -0.4939}",-0.4939,neg
158, Like ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",0.3612,pos
159," In photo online its quality looks very superior and Guanine watch quality and looks like very expensive watch.  But when we see it physicaly then watch it's not looks like which show in photo quality is poor just like ordinary watch for this watch paying Rs1500 is not worthy compare to it's quality and finishing looks very cheap quality as which available at road street venders. Don't buy, go for Tata product Sonata and titen bcz they never lie. ","{'neg': 0.08, 'neu': 0.803, 'pos': 0.117, 'compound': 0.3373}",0.3373,pos
160, Don't buy this product.It is not value for money.Stones are falling.Watch looks like ₹300-400. ,"{'neg': 0.123, 'neu': 0.726, 'pos': 0.151, 'compound': 0.119}",0.119,pos
161, Love quality ,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,pos
162, Super quleti ,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}",0.5994,pos
163, good design perfect fitting ,"{'neg': 0.0, 'neu': 0.233, 'pos': 0.767, 'compound': 0.765}",0.765,pos
164, Pro's:1.Watch looks elegant and value for money. 2.Light weight and Trendy collection 3. Dial is not too big not too small. Just perfect with light shade of rose gold. 4. Appreciating the seller for fast delivery.Received the item before 5 days of the actual delivery date. 5.Over all a Happy Shopping . ,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.9413}",0.9413,pos
165, Good product ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
166, In the picture i saw the strap was gold and ordered for the same gold strap. But received steel and gold mixed strap. So that i am returning. I gotten before one more and it was awesome brand. ,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.7684}",0.7684,pos
167,                         The media could not be loaded.                      Nice product looks like preamium lite weight but packing was not perfect ,"{'neg': 0.253, 'neu': 0.669, 'pos': 0.078, 'compound': -0.6011}",-0.6011,neg
168, I like it's rose gold finish ,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,pos
170,"                         The media could not be loaded.                      Just recieved 5 minute before. just waw 😍. Thanks to amaxon and nibosi company .. After 1 month it is running slowly. Late 30 min, half hour ","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.4404}",0.4404,pos
171, The watch looks so so gorgeous.Will be perfect for grand occassions. ,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.7884}",0.7884,pos
172, Super quleti ,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}",0.5994,pos
173, good design perfect fitting ,"{'neg': 0.0, 'neu': 0.233, 'pos': 0.767, 'compound': 0.765}",0.765,pos
174, Pro's:1.Watch looks elegant and value for money. 2.Light weight and Trendy collection 3. Dial is not too big not too small. Just perfect with light shade of rose gold. 4. Appreciating the seller for fast delivery.Received the item before 5 days of the actual delivery date. 5.Over all a Happy Shopping . ,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.9413}",0.9413,pos
175, Good product ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
176, In the picture i saw the strap was gold and ordered for the same gold strap. But received steel and gold mixed strap. So that i am returning. I gotten before one more and it was awesome brand. ,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.7684}",0.7684,pos
177,                         The media could not be loaded.                      Nice product looks like preamium lite weight but packing was not perfect ,"{'neg': 0.253, 'neu': 0.669, 'pos': 0.078, 'compound': -0.6011}",-0.6011,neg
178, I like it's rose gold finish ,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,pos
180,"                         The media could not be loaded.                      Just recieved 5 minute before. just waw 😍. Thanks to amaxon and nibosi company .. After 1 month it is running slowly. Late 30 min, half hour ","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.4404}",0.4404,pos
181, The watch looks so so gorgeous.Will be perfect for grand occassions. ,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.7884}",0.7884,pos
183, I like kit products nibosi ,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,pos
184, Amazing 😺 ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",0.5859,pos
185," Excellent and beautiful watch , gifted to my beautiful wife . ","{'neg': 0.0, 'neu': 0.343, 'pos': 0.657, 'compound': 0.91}",0.91,pos
186, Go for it ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
187," Good quality  ,looks and easy to adjustvthe fit, with the help  of the tool given ...great ","{'neg': 0.0, 'neu': 0.522, 'pos': 0.478, 'compound': 0.875}",0.875,pos
188," Looks good. It does not look very rich, but yes the quality is good for the price range ","{'neg': 0.08, 'neu': 0.542, 'pos': 0.378, 'compound': 0.826}",0.826,pos
